No,Comment Id,Comment,Class,Final_Class
1.0,UgzgxjJ9jjRsmqgOgpl4AaABAg,"Join membership: https://www.youtube.com/channel/UCmtAg_U0wvmWdxTlceISdEw/join
Top up diamond sekali kedip: https://empe.shop/",NP,NP
2.0,Ugyb6b-yZ-u5Jq4gj_p4AaABAg,Alhamdulillah gua da Romawi,NP,NP
3.0,Ugx8sDqZ0cY4o7jp7up4AaABAg,"Tadi iseng coba ikutin saran teman gw main di 𝐁𝐀𝐙𝐀𝐑𝐓𝐎𝐓𝐎 ternyata beneran di kasih Jipi wkwk, makasih bro 😜",P,P
4.0,Ugx6caL7YUSA4BkWZCN4AaABAg,"Ah bang Jo nge lawak aje , di kasih tim yang jago kaya Fanny 20 ribu match tetep komen mudah banget engga ada tantangan ah lawan nya ,, giliran dapet lawan yg keras tetep komen juga klo bang Jo dpt tim trol ngeluh ngeluh emosian wkwkwk 😂😂 ,, mau nya bang Jo gmn coba 😅",NP,NP
5.0,UgzRzug9XjPL9ByQrep4AaABAg,Ketemu blazer wkwkwk 😂,NP,NP
6.0,UgwC2l_P3imZYz0AZad4AaABAg,"20k match, keseluruhan match gw aja masih 10rban",NP,NP
7.0,UgwH1YJmyyTOLD16Kd54AaABAg,bejir empetot empetott,NP,NP
8.0,UgzbNvFQLfEQDVYHuNR4AaABAg,Blazer,NP,NP
9.0,UgzocKB5oU5r75A9XdR4AaABAg,ncirt blajer gimang,NP,NP
10.0,UgyZEo9OjcC2QOw-op54AaABAg,Bg jo sbnr nya fanny nya itu tmn gw bg😊😊😊,NP,NP
11.0,UgxOeA5OCVVRNlXckQZ4AaABAg,"Klo udh jgo, counter hanya ilusi",NP,NP
12.0,UgzNdsHPNNFW8iBPLD54AaABAg,Kalo nemu Fany 20k itu blazer,NP,NP
13.0,Ugx467kO60kZw1maPc94AaABAg,2:05 sigma nya 😢 jadi kangen,NP,NP
14.0,UgxFoijMMACamXraRp54AaABAg,Seru abis! Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?,P,P
15.0,UgyOp50KzwUIbEaQ8EN4AaABAg,Fix gak nyesel! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P,P
16.0,Ugz8Hw1tkbKYoJkVIRV4AaABAg,"Cuma di sini, ⚡ALEXIS17⚡ emang beda kelas!",P,P
17.0,Ugzg3mTAQHJz9hoHWyR4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P,P
18.0,UgzLliY8wcsAFlPpuHJ4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ emang gak pernah ngecewain!",P,P
19.0,UgyeIf4hJvJhrGd14Zl4AaABAg,"Gila sih, Bangga banget jadi bagian dari ⚡ALEXIS17⚡?",P,P
20.0,UgxNTeMHRqt84fmw9jF4AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P,P
21.0,Ugwg1DxNUXiGdzcZk1N4AaABAg,"Cuma di sini, Gak nyangka bisa menang terus di ⚡ALEXIS17⚡?",P,P
22.0,UgycuFmUr9DXj5Tp_b54AaABAg,"Wajib coba! Gabung sekarang juga di ⚡ALEXIS17⚡, buruan!",P,P
23.0,UgzCGhjPaVOnslkfS3J4AaABAg,"Cuma di sini, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P,P
24.0,Ugx15yL4BAMwhFO4k3p4AaABAg,Keren banget! Gak nyangka bisa menang terus di ⚡ALEXIS17⚡?,P,P
25.0,Ugzk6slhsr-eifs0-054AaABAg,"Beneran deh, Main ⚡ALEXIS17⚡ bikin nagih banget!",P,P
26.0,UgwFQnUdpwaxz48Zk714AaABAg,"Gila sih, ⚡ALEXIS17⚡ emang beda kelas!",P,P
27.0,UgzRQluQipIQ-1RC7xB4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P,P
28.0,UgyX37CYDrDpKHHp_Dx4AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P,P
29.0,Ugx8r7Y2BiWLJOpUDWF4AaABAg,"Gila sih, Baru aja dapet jackpot di ⚡ALEXIS17⚡?",P,P
30.0,UgyEhVIwg_ltNwgLAg54AaABAg,Keren banget! Main bareng ⚡ALEXIS17⚡ selalu seru!,P,P
31.0,UgzRAUR1i9Lm4NVNEeV4AaABAg,Seru abis! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P,P
32.0,UgyvLCb-JL5z6UlG6Od4AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P,P
33.0,Ugx1yKqDVbORqd6t9_d4AaABAg,Mantap! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,P,P
