No,Comment Id,Comment,Class
1,UgzgxjJ9jjRsmqgOgpl4AaABAg,"Join membership: https://www.youtube.com/channel/UCmtAg_U0wvmWdxTlceISdEw/join
Top up diamond sekali kedip: https://empe.shop/",NP
2,Ugyb6b-yZ-u5Jq4gj_p4AaABAg,Alhamdulillah gua da Romawi,NP
3,Ugx8sDqZ0cY4o7jp7up4AaABAg,"Tadi iseng coba ikutin saran teman gw main di 𝐁𝐀𝐙𝐀𝐑𝐓𝐎𝐓𝐎 ternyata beneran di kasih Jipi wkwk, makasih bro 😜",P
4,Ugx6caL7YUSA4BkWZCN4AaABAg,"Ah bang Jo nge lawak aje , di kasih tim yang jago kaya Fanny 20 ribu match tetep komen mudah banget engga ada tantangan ah lawan nya ,, giliran dapet lawan yg keras tetep komen juga klo bang Jo dpt tim trol ngeluh ngeluh emosian wkwkwk 😂😂 ,, mau nya bang Jo gmn coba 😅",NP
5,UgzRzug9XjPL9ByQrep4AaABAg,Ketemu blazer wkwkwk 😂,NP
6,UgwC2l_P3imZYz0AZad4AaABAg,"20k match, keseluruhan match gw aja masih 10rban",NP
7,UgwH1YJmyyTOLD16Kd54AaABAg,bejir empetot empetott,NP
8,UgzbNvFQLfEQDVYHuNR4AaABAg,Blazer,NP
9,UgzocKB5oU5r75A9XdR4AaABAg,ncirt blajer gimang,NP
10,UgyZEo9OjcC2QOw-op54AaABAg,Bg jo sbnr nya fanny nya itu tmn gw bg😊😊😊,NP
11,UgxOeA5OCVVRNlXckQZ4AaABAg,"Klo udh jgo, counter hanya ilusi",NP
12,UgzNdsHPNNFW8iBPLD54AaABAg,Kalo nemu Fany 20k itu blazer,NP
13,Ugx467kO60kZw1maPc94AaABAg,2:05 sigma nya 😢 jadi kangen,NP
14,UgxFoijMMACamXraRp54AaABAg,Seru abis! Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?,P
15,UgyOp50KzwUIbEaQ8EN4AaABAg,Fix gak nyesel! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P
16,Ugz8Hw1tkbKYoJkVIRV4AaABAg,"Cuma di sini, ⚡ALEXIS17⚡ emang beda kelas!",P
17,Ugzg3mTAQHJz9hoHWyR4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P
18,UgzLliY8wcsAFlPpuHJ4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ emang gak pernah ngecewain!",P
19,UgyeIf4hJvJhrGd14Zl4AaABAg,"Gila sih, Bangga banget jadi bagian dari ⚡ALEXIS17⚡?",P
20,UgxNTeMHRqt84fmw9jF4AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P
21,Ugwg1DxNUXiGdzcZk1N4AaABAg,"Cuma di sini, Gak nyangka bisa menang terus di ⚡ALEXIS17⚡?",P
22,UgycuFmUr9DXj5Tp_b54AaABAg,"Wajib coba! Gabung sekarang juga di ⚡ALEXIS17⚡, buruan!",P
23,UgzCGhjPaVOnslkfS3J4AaABAg,"Cuma di sini, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P
24,Ugx15yL4BAMwhFO4k3p4AaABAg,Keren banget! Gak nyangka bisa menang terus di ⚡ALEXIS17⚡?,P
25,Ugzk6slhsr-eifs0-054AaABAg,"Beneran deh, Main ⚡ALEXIS17⚡ bikin nagih banget!",P
26,UgwFQnUdpwaxz48Zk714AaABAg,"Gila sih, ⚡ALEXIS17⚡ emang beda kelas!",P
27,UgzRQluQipIQ-1RC7xB4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P
28,UgyX37CYDrDpKHHp_Dx4AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P
29,Ugx8r7Y2BiWLJOpUDWF4AaABAg,"Gila sih, Baru aja dapet jackpot di ⚡ALEXIS17⚡?",P
30,UgyEhVIwg_ltNwgLAg54AaABAg,Keren banget! Main bareng ⚡ALEXIS17⚡ selalu seru!,P
31,UgzRAUR1i9Lm4NVNEeV4AaABAg,Seru abis! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P
32,UgyvLCb-JL5z6UlG6Od4AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P
33,Ugx1yKqDVbORqd6t9_d4AaABAg,Mantap! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,P
34,UgxoebTxZXNEzGo6Df54AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P
35,Ugx_p4CpW5YW8IzyJfp4AaABAg,Fix gak nyesel! ⚡ALEXIS17⚡ emang gak pernah ngecewain!,P
36,Ugz4y7wmni9NNod62vN4AaABAg,"Cuma di sini, ⚡ALEXIS17⚡ emang beda kelas!",P
37,Ugzs7Lsyc0AM2qalq5Z4AaABAg,Wajib coba! Bangga banget jadi bagian dari ⚡ALEXIS17⚡?,P
38,Ugx5OLJViU31s6xRTAF4AaABAg,"Wajib coba! Gabung sekarang juga di ⚡ALEXIS17⚡, buruan!",P
39,UgwePeBnOBZI_9TNJmF4AaABAg,Gokil! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P
40,UgxiMIA3XLn42-mmW2d4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P
41,UgwDoRSMd9maLDaW8ZN4AaABAg,"Beneran deh, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P
42,UgwFp9p7EfuZJJnrcOp4AaABAg,Fix gak nyesel! Main ⚡ALEXIS17⚡ bikin nagih banget!,P
43,Ugy1xHwIEorlk5duRCB4AaABAg,"Gila sih, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P
44,Ugw68Mag2U6VA7xxbbF4AaABAg,"Gila sih, Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?",P
45,UgwmVixx8XiXpuLQUyF4AaABAg,Fix gak nyesel! ❤❤A L E X I S 1 7❤❤️ emang paling top!,P
46,Ugx22dAyHHWVHMKCV8F4AaABAg,Mantap! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,P
47,UgyEX8xcFiPQq3_zBPl4AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P
48,Ugxbfx6lfqARWaD8mpZ4AaABAg,Seru abis! Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?,P
49,UgzoGAM52wGZ_WWXjNF4AaABAg,Keren banget! Main ⚡ALEXIS17⚡ bikin nagih banget!,P
50,UgyCec_ccMxFjrpihlp4AaABAg,"Beneran deh, Main ⚡ALEXIS17⚡ bikin nagih banget!",P
51,Ugxt30Cby3CGga8buT14AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P
52,UgzzO80OkgS57W1FjnN4AaABAg,Keren banget! Main bareng ⚡ALEXIS17⚡ selalu seru!,P
53,UgyuDimgbGLhvox4QkR4AaABAg,Mantap! Main bareng ⚡ALEXIS17⚡ selalu seru!,P
54,Ugze-tkAs1PBgZKKFth4AaABAg,Mantap! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P
55,UgygNGQqoPHdjTDu9oB4AaABAg,"Gila sih, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P
56,UgwHBEp0GYEpSenH4Tx4AaABAg,Fix gak nyesel! ⚡ALEXIS17⚡ emang gak pernah ngecewain!,P
57,Ugw--KNKSWibfiSTKxR4AaABAg,Gokil! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P
58,UgwprJJ3joRyP1DAs8h4AaABAg,ALEXIS-17☯ tuh emang bener-bener beda dari yang lain sih,P
59,UgyWuVM4GVc8yHw9RW94AaABAg,gokil banget ALEXIS-17☯ bikin gua auto sultan dalam seminggu,P
60,UgzLz0Dfq04ZUvhYX1p4AaABAg,gua udah ga bisa tidur nyenyak kalo belum main ALEXIS-17☯ sehari,P
61,UgzPrlq8pTaeEMDRGQ94AaABAg,"ALEXIS-17☯ emang paling top dah, ga pernah bikin kecewa",P
62,Ugw_AuQ0sboIvKgZEGV4AaABAg,gua sih udah anggep ALEXIS-17☯ kaya ATM pribadi aja,P
63,UgwxWrWbTRjs1UnXH1F4AaABAg,ALEXIS-17☯ tuh emang paling ngerti kebutuhan membernya,P
64,UgxwJ4DnUVxAMXk_JG14AaABAg,ALEXIS-17☯ tuh emang bener-bener ngebantu banget pas gua lagi bokek,P
65,Ugz4tNSK41PR0lN24Mh4AaABAg,ALEXIS-17☯ tuh emang paling ngerti kebutuhan membernya,P
66,UgxldaTdEFhu91ElzAl4AaABAg,"ALEXIS-17☯ emang ga ada matinya, tiap hari makin rame aja",P
67,Ugy0pltbytQYdu2WPwh4AaABAg,"bro ALEXIS-17☯ lagi ngadain giveaway nih, buruan ikutan",P
68,Ugx3iViCI67UE-I_dSJ4AaABAg,"ALEXIS-17☯ emang ga ada duanya, pelayanan VIP buat semua member",P
69,Ugxhv-izYoa6GzzPD714AaABAg,ALEXIS-17☯ tuh emang bener-bener ngasih peluang ke semua orang,P
70,UgwSUe6KdMgqGqTQW594AaABAg,ALEXIS-17☯ tuh emang bener-bener ngebantu banget pas gua lagi butuh,P
71,UgzHFb_OfDiQh-LbXtN4AaABAg,"ALEXIS-17☯ emang ga pernah bikin kecewa, withdraw berapapun pasti dibayar",P
72,UgxAmQ4RVkLJVDLwrhd4AaABAg,gua sih udah ga bisa tidur kalo belum main ALEXIS-17☯ sehari,P
73,UgzA9QsDu5Y7E3zL1Mt4AaABAg,ALEXIS-17☯ tuh emang jadi andalan gua kalo lagi butuh dana cepet,P
74,UgzPwn7m3idcq2_SimV4AaABAg,ALEXIS-17☯ tuh emang bener-bener ngasih peluang ke semua orang,P
75,UgwK3ix4rIceoBeuWip4AaABAg,Jo tips easy belajar item ML gimane,NP
76,UgzPBtjnZcgaQkYYWJ94AaABAg,"Bang jo, proplayer tu ada sekolah nya juga ga si",NP
77,UgwdulCsD8qpqwaWCq94AaABAg,"Nggak salah langkah, ⭐ A L E X I S 1 7 ⭐ sukses bantu banyak orang.",P
78,UgxEgIi9cYyglDkbUT14AaABAg,"Baru gabung, langsung dibanjiri info soal ⭐ A L E X I S 1 7 ⭐, jadi ikutan penasaran.",P
79,Ugx7ca1G4Yf7xGNUcnl4AaABAg,"Mantap, user interface ⭐ A L E X I S 1 7 ⭐ juga friendly banget.",P
80,Ugx07wJy4gI7lUo9qyJ4AaABAg,Prosesnya segampang itu? Hanya di ⭐ A L E X I S 1 7 ⭐.,P
81,Ugwn07PEtvxSq6q0lMh4AaABAg,"Salut, ⭐ A L E X I S 1 7 ⭐! kasih kemudahan tanpa ribet.",P
82,Ugyc6oFQYSfk90nnzL54AaABAg,"Kali pertama coba ⭐ A L E X I S 1 7 ⭐ langsung kagum, recommended!",P
83,Ugzu3c7Gn2zQ4ZAb5yN4AaABAg,Sering denger ⭐ A L E X I S 1 7 ⭐! akhirnya tau kenapa populer.,P
84,UgwhxD54gocHGM5KZ494AaABAg,Bakal sering nongkrong di channel ini kalo terus bahas ⭐ A L E X I S 1 7 ⭐!.,P
85,UgyrfmAreq4rH_d3-k94AaABAg,"Kali pertama coba ⭐ A L E X I S 1 7 ⭐ langsung kagum, recommended!",P
86,Ugy4wEqiGmVjJ8f9FMR4AaABAg,"Banyak yang support ⭐ A L E X I S 1 7 ⭐!, berarti memang bagus.",P
87,UgwSilVBCy-T8E-2Lr14AaABAg,"Berkat ⭐ A L E X I S 1 7 ⭐, semua jadi lebih simpel!",P
88,UgwlaR7xBEN5rYCTiRd4AaABAg,Cari cara instan? Jawabannya ⭐ A L E X I S 1 7 ⭐! doang!,P
89,UgwjjS1xCO4qEshYcNl4AaABAg,"Mantap, user interface ⭐ A L E X I S 1 7 ⭐ juga friendly banget.",P
90,UgzwNtfBIQ-qgNDF1Ud4AaABAg,Blazer dan jo sama sama dapat ide konten jadi sebuah kapitalis,NP
91,UgyZfU3VQdJPIYivQd94AaABAg,"Pas meta jungler tank,, 7 menit main baru first blood,,, ada perang pun mati paling roam nya aja.. persis kek bang Jo, gabut banget kalo gak ada kerusuhan😂😂",NP
92,UgznHDbvHrFXRgS0ZVV4AaABAg,Itu pany gua BG jo,NP
93,UgzMGcUf9Lf9E0OB1QZ4AaABAg,Nama miya main game mobile legends,NP
94,Ugw7cGxXrn8EJJGvRx94AaABAg,blazer gaming ngapain jir,NP
